route_id,trip_id,trip_headsign,service_id
3,344,To Hotel Avante & Grand Hotel,1
0,0,To Shoreline Amphitheatre,1
3,346,To Hotel Avante & Grand Hotel,1
3,347,To Hotel Avante & Grand Hotel,1
3,340,To Hotel Avante & Grand Hotel,1
3,341,To Hotel Avante & Grand Hotel,1
3,342,To Hotel Avante & Grand Hotel,1
3,343,To Hotel Avante & Grand Hotel,1
3,348,To Hotel Avante & Grand Hotel,1
3,349,To Hotel Avante & Grand Hotel,1
4,595,To Country Inn & Suites by Carlson,0
4,606,To Country Inn & Suites by Carlson,0
4,594,To Country Inn & Suites by Carlson,0
1,298,"To Avatar Hotel, Plaza Suites",3
1,299,"To Avatar Hotel, Plaza Suites",3
1,296,"To Avatar Hotel, Plaza Suites",2
1,297,"To Avatar Hotel, Plaza Suites",3
1,294,"To Avatar Hotel, Plaza Suites",2
1,295,"To Avatar Hotel, Plaza Suites",2
1,292,"To Avatar Hotel, Plaza Suites",2
1,293,"To Avatar Hotel, Plaza Suites",2
1,290,"To Avatar Hotel, Plaza Suites",2
1,291,"To Avatar Hotel, Plaza Suites",2
3,591,To Hotel Avante & Grand Hotel,0
3,590,To Hotel Avante & Grand Hotel,0
4,593,To Country Inn & Suites by Carlson,0
4,592,To Country Inn & Suites by Carlson,0
5,199,To Mountain View Caltrain,2
5,198,To Mountain View Caltrain,2
4,597,To Country Inn & Suites by Carlson,0
4,596,To Country Inn & Suites by Carlson,0
5,195,To Mountain View Caltrain,2
5,194,To Mountain View Caltrain,2
5,197,To Mountain View Caltrain,2
5,196,To Mountain View Caltrain,2
5,191,To Mountain View Caltrain,2
5,190,To Mountain View Caltrain,2
5,193,To Mountain View Caltrain,2
5,192,To Mountain View Caltrain,2
1,270,"To Avatar Hotel, Plaza Suites",1
1,271,"To Avatar Hotel, Plaza Suites",1
1,272,"To Avatar Hotel, Plaza Suites",1
1,273,"To Avatar Hotel, Plaza Suites",1
1,274,"To Avatar Hotel, Plaza Suites",1
1,275,"To Avatar Hotel, Plaza Suites",1
1,276,"To Avatar Hotel, Plaza Suites",1
1,277,"To Avatar Hotel, Plaza Suites",1
1,278,"To Avatar Hotel, Plaza Suites",1
1,279,"To Avatar Hotel, Plaza Suites",1
1,524,"To Avatar Hotel, Plaza Suites",0
1,525,"To Avatar Hotel, Plaza Suites",0
1,526,"To Avatar Hotel, Plaza Suites",0
1,527,"To Avatar Hotel, Plaza Suites",0
1,520,"To Avatar Hotel, Plaza Suites",0
1,521,"To Avatar Hotel, Plaza Suites",0
1,522,"To Avatar Hotel, Plaza Suites",0
1,523,"To Avatar Hotel, Plaza Suites",0
4,599,To Country Inn & Suites by Carlson,0
1,528,"To Avatar Hotel, Plaza Suites",0
1,529,"To Avatar Hotel, Plaza Suites",0
8,449,San Francisco International Airport,3
8,448,San Francisco International Airport,3
6,443,"Hyatt Regency Embarcadero, via Millbrae BART",3
6,442,"Hyatt Regency Embarcadero, via Millbrae BART",3
6,441,"Hyatt Regency Embarcadero, via Millbrae BART",3
6,440,"Hyatt Regency Embarcadero, via Millbrae BART",3
8,447,San Francisco International Airport,3
8,446,San Francisco International Airport,3
6,445,"Hyatt Regency Embarcadero, via Millbrae BART",3
6,444,"Hyatt Regency Embarcadero, via Millbrae BART",3
3,108,To Shoreline Amphitheatre,3
3,109,To Shoreline Amphitheatre,3
3,102,To Shoreline Amphitheatre,2
3,103,To Shoreline Amphitheatre,2
3,100,To Shoreline Amphitheatre,1
3,101,To Shoreline Amphitheatre,1
3,106,To Shoreline Amphitheatre,3
3,107,To Shoreline Amphitheatre,3
3,104,To Shoreline Amphitheatre,2
3,105,To Shoreline Amphitheatre,2
0,39,To Shoreline Amphitheatre,3
0,38,To Shoreline Amphitheatre,3
0,33,To Shoreline Amphitheatre,2
0,32,To Shoreline Amphitheatre,2
0,31,To Shoreline Amphitheatre,2
0,30,To Shoreline Amphitheatre,2
0,37,To Shoreline Amphitheatre,3
0,36,To Shoreline Amphitheatre,3
0,35,To Shoreline Amphitheatre,3
0,34,To Shoreline Amphitheatre,3
6,438,"Hyatt Regency Embarcadero, via Millbrae BART",3
6,439,"Hyatt Regency Embarcadero, via Millbrae BART",3
6,436,"Hyatt Regency Embarcadero, via Millbrae BART",2
6,437,"Hyatt Regency Embarcadero, via Millbrae BART",2
6,434,"Hyatt Regency Embarcadero, via Millbrae BART",2
6,435,"Hyatt Regency Embarcadero, via Millbrae BART",2
6,432,"Hyatt Regency Embarcadero, via Millbrae BART",2
6,433,"Hyatt Regency Embarcadero, via Millbrae BART",2
6,430,"Hyatt Regency Embarcadero, via Millbrae BART",2
6,431,"Hyatt Regency Embarcadero, via Millbrae BART",2
2,339,"To The Aloft Sunnyvale, Wild Palms Hotel",3
2,338,"To The Aloft Sunnyvale, Wild Palms Hotel",3
2,335,"To The Aloft Sunnyvale, Wild Palms Hotel",2
2,334,"To The Aloft Sunnyvale, Wild Palms Hotel",2
2,337,"To The Aloft Sunnyvale, Wild Palms Hotel",3
2,336,"To The Aloft Sunnyvale, Wild Palms Hotel",3
2,331,"To The Aloft Sunnyvale, Wild Palms Hotel",2
2,330,"To The Aloft Sunnyvale, Wild Palms Hotel",2
2,333,"To The Aloft Sunnyvale, Wild Palms Hotel",2
2,332,"To The Aloft Sunnyvale, Wild Palms Hotel",2
3,345,To Hotel Avante & Grand Hotel,1
0,6,To Shoreline Amphitheatre,2
3,99,To Shoreline Amphitheatre,1
3,98,To Shoreline Amphitheatre,3
3,91,To Shoreline Amphitheatre,2
3,90,To Shoreline Amphitheatre,2
3,93,To Shoreline Amphitheatre,2
3,92,To Shoreline Amphitheatre,2
3,95,To Shoreline Amphitheatre,3
3,94,To Shoreline Amphitheatre,3
3,97,To Shoreline Amphitheatre,3
3,96,To Shoreline Amphitheatre,3
2,559,"To The Aloft Sunnyvale, Wild Palms Hotel",0
2,558,"To The Aloft Sunnyvale, Wild Palms Hotel",0
2,555,"To The Aloft Sunnyvale, Wild Palms Hotel",0
2,554,"To The Aloft Sunnyvale, Wild Palms Hotel",0
2,557,"To The Aloft Sunnyvale, Wild Palms Hotel",0
2,556,"To The Aloft Sunnyvale, Wild Palms Hotel",0
2,551,"To The Aloft Sunnyvale, Wild Palms Hotel",0
2,550,"To The Aloft Sunnyvale, Wild Palms Hotel",0
2,553,"To The Aloft Sunnyvale, Wild Palms Hotel",0
2,552,"To The Aloft Sunnyvale, Wild Palms Hotel",0
0,238,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,239,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,234,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,235,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,236,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,237,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,230,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,231,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,232,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,233,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,1,To Shoreline Amphitheatre,1
4,614,To Country Inn & Suites by Carlson,0
5,146,To Shoreline Amphitheatre,1
5,147,To Shoreline Amphitheatre,1
5,144,To Shoreline Amphitheatre,1
5,145,To Shoreline Amphitheatre,1
5,142,To Shoreline Amphitheatre,1
5,143,To Shoreline Amphitheatre,1
5,140,To Shoreline Amphitheatre,1
5,141,To Shoreline Amphitheatre,1
4,612,To Country Inn & Suites by Carlson,0
4,613,To Country Inn & Suites by Carlson,0
4,610,To Country Inn & Suites by Carlson,0
4,611,To Country Inn & Suites by Carlson,0
4,616,To Country Inn & Suites by Carlson,0
4,617,To Country Inn & Suites by Carlson,0
5,148,To Shoreline Amphitheatre,1
5,149,To Shoreline Amphitheatre,1
6,133,To Shoreline Amphitheatre,2
6,132,To Shoreline Amphitheatre,1
6,131,To Shoreline Amphitheatre,1
6,130,To Shoreline Amphitheatre,1
6,137,To Shoreline Amphitheatre,3
6,136,To Shoreline Amphitheatre,3
6,135,To Shoreline Amphitheatre,2
6,134,To Shoreline Amphitheatre,2
0,494,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",0
0,495,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",0
5,139,To Shoreline Amphitheatre,1
6,138,To Shoreline Amphitheatre,3
0,490,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",0
0,491,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",0
0,492,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",0
0,493,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",0
0,24,To Shoreline Amphitheatre,3
0,25,To Shoreline Amphitheatre,3
0,26,To Shoreline Amphitheatre,3
0,27,To Shoreline Amphitheatre,1
0,20,To Shoreline Amphitheatre,3
0,21,To Shoreline Amphitheatre,3
0,22,To Shoreline Amphitheatre,3
0,23,To Shoreline Amphitheatre,3
0,28,To Shoreline Amphitheatre,1
0,29,To Shoreline Amphitheatre,1
4,407,To Country Inn & Suites by Carlson,2
4,406,To Country Inn & Suites by Carlson,2
4,405,To Country Inn & Suites by Carlson,2
4,404,To Country Inn & Suites by Carlson,2
4,403,To Country Inn & Suites by Carlson,2
4,402,To Country Inn & Suites by Carlson,2
4,401,To Country Inn & Suites by Carlson,2
4,400,To Country Inn & Suites by Carlson,2
4,409,To Country Inn & Suites by Carlson,2
4,408,To Country Inn & Suites by Carlson,2
4,379,To Country Inn & Suites by Carlson,1
3,378,To Hotel Avante & Grand Hotel,3
3,371,To Hotel Avante & Grand Hotel,2
3,370,To Hotel Avante & Grand Hotel,2
3,373,To Hotel Avante & Grand Hotel,2
3,372,To Hotel Avante & Grand Hotel,2
3,375,To Hotel Avante & Grand Hotel,3
3,374,To Hotel Avante & Grand Hotel,2
3,377,To Hotel Avante & Grand Hotel,3
3,376,To Hotel Avante & Grand Hotel,3
4,393,To Country Inn & Suites by Carlson,1
4,392,To Country Inn & Suites by Carlson,1
3,88,To Shoreline Amphitheatre,1
3,89,To Shoreline Amphitheatre,1
4,397,To Country Inn & Suites by Carlson,2
4,396,To Country Inn & Suites by Carlson,1
4,395,To Country Inn & Suites by Carlson,1
4,394,To Country Inn & Suites by Carlson,1
2,82,To Shoreline Amphitheatre,3
2,83,To Shoreline Amphitheatre,3
2,80,To Shoreline Amphitheatre,2
2,81,To Shoreline Amphitheatre,2
2,86,To Shoreline Amphitheatre,3
3,87,To Shoreline Amphitheatre,1
2,84,To Shoreline Amphitheatre,3
2,85,To Shoreline Amphitheatre,3
0,7,To Shoreline Amphitheatre,2
4,601,To Country Inn & Suites by Carlson,0
4,607,To Country Inn & Suites by Carlson,0
3,586,To Hotel Avante & Grand Hotel,0
3,587,To Hotel Avante & Grand Hotel,0
3,584,To Hotel Avante & Grand Hotel,0
3,585,To Hotel Avante & Grand Hotel,0
3,582,To Hotel Avante & Grand Hotel,0
3,583,To Hotel Avante & Grand Hotel,0
3,580,To Hotel Avante & Grand Hotel,0
3,581,To Hotel Avante & Grand Hotel,0
3,588,To Hotel Avante & Grand Hotel,0
3,589,To Hotel Avante & Grand Hotel,0
0,245,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",2
0,244,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",2
0,247,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",2
0,246,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",2
0,241,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",2
0,240,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",1
0,243,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",2
0,242,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",2
4,615,To Country Inn & Suites by Carlson,0
0,249,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",2
0,248,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",2
1,519,"To Avatar Hotel, Plaza Suites",0
1,518,"To Avatar Hotel, Plaza Suites",0
0,511,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",0
0,510,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",0
0,513,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",0
0,512,"To Hilton Garden Inn Palo Alto, Sheraton Palo Alto, Westin, and Palo Alto Caltrain",0
1,515,"To Avatar Hotel, Plaza Suites",0
1,514,"To Avatar Hotel, Plaza Suites",0
1,517,"To Avatar Hotel, Plaza Suites",0
