trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
344,14:30:00,14:30:00,0,1,,,1,
344,14:45:00,14:45:00,2,2,,1,,
344,15:00:00,15:00:00,1,3,,1,,
0,07:00:00,07:00:00,1,1,,,1,
0,07:30:00,07:30:00,0,2,,1,,
346,16:30:00,16:30:00,0,1,,,1,
346,16:45:00,16:45:00,2,2,,1,,
346,17:00:00,17:00:00,1,3,,1,,
347,11:00:00,11:00:00,0,1,,,1,
347,11:15:00,11:15:00,3,2,,1,,
347,11:30:00,11:30:00,4,3,,1,,
340,21:30:00,21:30:00,0,1,,,1,
340,21:45:00,21:45:00,2,2,,1,,
340,22:00:00,22:00:00,1,3,,1,,
341,22:00:00,22:00:00,0,1,,,1,
341,22:15:00,22:15:00,2,2,,1,,
341,22:30:00,22:30:00,1,3,,1,,
342,22:30:00,22:30:00,0,1,,,1,
342,22:45:00,22:45:00,2,2,,1,,
342,23:00:00,23:00:00,1,3,,1,,
343,13:30:00,13:30:00,0,1,,,1,
343,13:45:00,13:45:00,2,2,,1,,
343,14:00:00,14:00:00,1,3,,1,,
810,14:00:00,14:00:00,0,1,,,1,
810,14:25:00,14:25:00,13,2,,,1,
810,14:35:00,14:35:00,12,3,,,1,
810,15:00:00,15:00:00,0,4,,1,,
811,14:30:00,14:30:00,0,1,,,1,
811,14:55:00,14:55:00,13,2,,,1,
811,15:05:00,15:05:00,12,3,,,1,
811,15:30:00,15:30:00,0,4,,1,,
812,15:00:00,15:00:00,0,1,,,1,
812,15:25:00,15:25:00,13,2,,,1,
812,15:35:00,15:35:00,12,3,,,1,
812,16:00:00,16:00:00,0,4,,1,,
813,15:30:00,15:30:00,0,1,,,1,
813,15:55:00,15:55:00,13,2,,,1,
813,16:05:00,16:05:00,12,3,,,1,
813,16:30:00,16:30:00,0,4,,1,,
348,12:00:00,12:00:00,0,1,,,1,
348,12:15:00,12:15:00,3,2,,1,,
348,12:30:00,12:30:00,4,3,,1,,
349,13:00:00,13:00:00,0,1,,,1,
349,13:15:00,13:15:00,3,2,,1,,
349,13:30:00,13:30:00,4,3,,1,,
816,17:00:00,17:00:00,0,1,,,1,
816,17:25:00,17:25:00,13,2,,,1,
816,17:35:00,17:35:00,12,3,,,1,
816,18:00:00,18:00:00,0,4,,1,,
817,17:30:00,17:30:00,0,1,,,1,
817,17:55:00,17:55:00,13,2,,,1,
817,18:05:00,18:05:00,12,3,,,1,
817,18:30:00,18:30:00,0,4,,1,,
595,22:00:00,22:00:00,0,1,,,1,
595,22:45:00,22:45:00,18,2,,1,,
595,23:15:00,23:15:00,16,3,,1,,
719,07:30:00,07:30:00,0,1,,,1,
719,08:00:00,08:00:00,7,2,,,1,
719,08:10:00,08:10:00,8,3,,,1,
719,08:20:00,08:20:00,9,4,,,1,
719,08:45:00,08:45:00,0,5,,1,,
718,07:00:00,07:00:00,0,1,,,1,
718,07:30:00,07:30:00,7,2,,,1,
718,07:40:00,07:40:00,8,3,,,1,
718,07:50:00,07:50:00,9,4,,,1,
718,08:15:00,08:15:00,0,5,,1,,
717,06:30:00,06:30:00,0,1,,,1,
717,07:00:00,07:00:00,7,2,,,1,
717,07:10:00,07:10:00,8,3,,,1,
717,07:20:00,07:20:00,9,4,,,1,
717,07:45:00,07:45:00,0,5,,1,,
716,19:00:00,19:00:00,0,1,,,1,
716,19:15:00,19:15:00,3,2,,,1,
716,19:30:00,19:30:00,4,3,,,1,
716,19:55:00,19:55:00,0,4,,1,,
715,18:30:00,18:30:00,0,1,,,1,
715,18:45:00,18:45:00,3,2,,,1,
715,19:00:00,19:00:00,4,3,,,1,
715,19:25:00,19:25:00,0,4,,1,,
714,18:00:00,18:00:00,0,1,,,1,
714,18:15:00,18:15:00,3,2,,,1,
714,18:30:00,18:30:00,4,3,,,1,
714,18:55:00,18:55:00,0,4,,1,,
713,17:30:00,17:30:00,0,1,,,1,
713,17:45:00,17:45:00,3,2,,,1,
713,18:00:00,18:00:00,4,3,,,1,
713,18:25:00,18:25:00,0,4,,1,,
712,17:00:00,17:00:00,0,1,,,1,
712,17:15:00,17:15:00,3,2,,,1,
712,17:30:00,17:30:00,4,3,,,1,
712,17:55:00,17:55:00,0,4,,1,,
711,16:30:00,16:30:00,0,1,,,1,
711,16:45:00,16:45:00,3,2,,,1,
711,17:00:00,17:00:00,4,3,,,1,
711,17:25:00,17:25:00,0,4,,1,,
710,16:00:00,16:00:00,0,1,,,1,
710,16:15:00,16:15:00,3,2,,,1,
710,16:30:00,16:30:00,4,3,,,1,
710,16:55:00,16:55:00,0,4,,1,,
606,22:30:00,22:30:00,0,1,,,1,
606,23:15:00,23:15:00,18,2,,1,,
606,23:45:00,23:45:00,16,3,,1,,
594,21:30:00,21:30:00,0,1,,,1,
594,22:15:00,22:15:00,18,2,,1,,
594,22:45:00,22:45:00,16,3,,1,,
736,16:00:00,16:00:00,0,1,,,1,
736,16:30:00,16:30:00,7,2,,,1,
736,16:40:00,16:40:00,8,3,,,1,
736,16:50:00,16:50:00,9,4,,,1,
736,17:15:00,17:15:00,0,5,,1,,
619,18:30:00,18:30:00,0,1,,,1,
619,19:50:00,19:50:00,18,2,,1,,
619,20:30:00,20:30:00,17,3,,1,,
298,12:45:00,12:45:00,21,1,,,1,
298,13:00:00,13:00:00,0,2,,1,,
299,13:15:00,13:15:00,0,1,,,1,
299,13:30:00,13:30:00,21,2,,1,,
296,11:45:00,11:45:00,21,1,,,1,
296,12:00:00,12:00:00,0,2,,1,,
297,12:15:00,12:15:00,21,1,,,1,
297,12:30:00,12:30:00,0,2,,1,,
294,10:45:00,10:45:00,21,1,,,1,
294,11:00:00,11:00:00,0,2,,1,,
295,11:15:00,11:15:00,21,1,,,1,
295,11:30:00,11:30:00,0,2,,1,,
292,09:45:00,09:45:00,21,1,,,1,
292,10:00:00,10:00:00,0,2,,1,,
293,10:15:00,10:15:00,21,1,,,1,
293,10:30:00,10:30:00,0,2,,1,,
290,08:45:00,08:45:00,21,1,,,1,
290,09:00:00,09:00:00,0,2,,1,,
291,09:15:00,09:15:00,21,1,,,1,
291,09:30:00,09:30:00,0,2,,1,,
591,20:00:00,20:00:00,0,1,,,1,
591,20:45:00,20:45:00,18,2,,1,,
591,21:15:00,21:15:00,16,3,,1,,
590,19:30:00,19:30:00,0,1,,,1,
590,20:50:00,20:50:00,18,2,,1,,
590,21:30:00,21:30:00,16,3,,1,,
593,21:00:00,21:00:00,0,1,,,1,
593,21:45:00,21:45:00,18,2,,1,,
593,22:15:00,22:15:00,16,3,,1,,
592,20:30:00,20:30:00,0,1,,,1,
592,21:15:00,21:15:00,18,2,,1,,
592,21:45:00,21:45:00,16,3,,1,,
199,06:00:00,06:00:00,16,1,,,1,
199,07:15:00,07:15:00,0,2,,1,,
198,07:30:00,07:30:00,18,1,,,1,
198,08:50:00,08:50:00,0,2,,1,,
597,18:00:00,18:00:00,0,1,,,1,
597,19:20:00,19:20:00,18,2,,1,,
597,20:00:00,20:00:00,16,3,,1,,
596,22:30:00,22:30:00,0,1,,,1,
596,23:15:00,23:15:00,18,2,,1,,
596,23:45:00,23:45:00,16,3,,1,,
195,06:30:00,06:30:00,18,1,,,1,
195,07:30:00,07:30:00,0,2,,1,,
194,07:30:00,07:30:00,18,1,,,1,
194,08:50:00,08:50:00,0,2,,1,,
197,06:30:00,06:30:00,18,1,,,1,
197,07:30:00,07:30:00,0,2,,1,,
196,07:30:00,07:30:00,18,1,,,1,
196,08:50:00,08:50:00,0,2,,1,,
191,10:30:00,10:30:00,15,1,,,1,
191,11:00:00,11:00:00,0,2,,1,,
190,09:15:00,09:15:00,15,1,,,1,
190,10:00:00,10:00:00,0,2,,1,,
193,06:00:00,06:00:00,18,1,,,1,
193,06:45:00,06:45:00,0,2,,1,,
192,12:00:00,12:00:00,15,1,,,1,
192,12:30:00,12:30:00,0,2,,1,,
270,14:45:00,14:45:00,21,1,,,1,
270,15:00:00,15:00:00,0,2,,1,,
271,15:15:00,15:15:00,21,1,,,1,
271,15:30:00,15:30:00,0,2,,1,,
272,15:45:00,15:45:00,21,1,,,1,
272,16:00:00,16:00:00,0,2,,1,,
273,16:15:00,16:15:00,21,1,,,1,
273,16:30:00,16:30:00,0,2,,1,,
274,16:45:00,16:45:00,0,1,,,1,
274,17:00:00,17:00:00,21,2,,1,,
