route_id,trip_id,trip_headsign,service_id
0,344,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,3
0,0,To Shoreline,1
0,346,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,3
1,347,To Hotel Avante & Grand Hotel,1
0,340,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
0,341,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
0,342,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,2
0,343,To Hilton Harden Inn Palo Alto & Palo Alto Caltrain,3
5,810,To BiltMore Hotel & Suites and Avatar Hotel,0
5,811,To BiltMore Hotel & Suites and Avatar Hotel,0
5,812,To BiltMore Hotel & Suites and Avatar Hotel,0
5,813,To BiltMore Hotel & Suites and Avatar Hotel,0
1,348,To Hotel Avante & Grand Hotel,1
1,349,To Hotel Avante & Grand Hotel,1
5,816,To BiltMore Hotel & Suites and Avatar Hotel,0
5,817,To BiltMore Hotel & Suites and Avatar Hotel,0
8,595,"Hyatt Regency Embarcadero, via Millbrae BART",1
3,719,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",0
3,718,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",0
3,717,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",0
1,716,To Hotel Avante & Grand Hotel,0
1,715,To Hotel Avante & Grand Hotel,0
1,714,To Hotel Avante & Grand Hotel,0
1,713,To Hotel Avante & Grand Hotel,0
1,712,To Hotel Avante & Grand Hotel,0
1,711,To Hotel Avante & Grand Hotel,0
1,710,To Hotel Avante & Grand Hotel,0
8,606,"Hyatt Regency Embarcadero, via Millbrae BART",2
8,594,"Hyatt Regency Embarcadero, via Millbrae BART",1
3,736,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",0
9,619,"Westin St. Francis, via Millbrae BART",2
7,298,To Shoreline,3
7,299,To Mountain View Caltrain,3
7,296,To Shoreline,3
7,297,To Shoreline,3
7,294,To Shoreline,3
7,295,To Shoreline,3
7,292,To Shoreline,3
7,293,To Shoreline,3
7,290,To Shoreline,3
7,291,To Shoreline,3
8,591,"Hyatt Regency Embarcadero, via Millbrae BART",1
8,590,"Hyatt Regency Embarcadero, via Millbrae BART",1
8,593,"Hyatt Regency Embarcadero, via Millbrae BART",1
8,592,"Hyatt Regency Embarcadero, via Millbrae BART",1
8,199,To Shoreline,1
10,198,To Shoreline,3
8,597,"Hyatt Regency Embarcadero, via Millbrae BART",2
8,596,"Hyatt Regency Embarcadero, via Millbrae BART",1
10,195,To Shoreline,2
10,194,To Shoreline,1
10,197,To Shoreline,3
10,196,To Shoreline,2
6,191,To Shoreline,3
6,190,To Shoreline,3
10,193,To Shoreline,1
6,192,To Shoreline,3
7,270,To Shoreline,2
7,271,To Shoreline,2
7,272,To Shoreline,2
7,273,To Shoreline,2
7,274,To Mountain View Caltrain,2
7,275,To Mountain View Caltrain,2
7,276,To Mountain View Caltrain,2
7,277,To Mountain View Caltrain,2
7,278,To Mountain View Caltrain,2
7,279,To Mountain View Caltrain,2
3,738,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",0
5,524,To BiltMore Hotel & Suites and Avatar Hotel,1
5,525,To BiltMore Hotel & Suites and Avatar Hotel,1
