trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
344,15:00:00,15:00:00,0,1,,,1,
344,15:20:00,15:20:00,8,2,,1,,
344,15:30:00,15:30:00,9,3,,1,,
0,07:00:00,07:00:00,1,1,,,1,
0,07:30:00,07:30:00,0,2,,1,,
346,17:00:00,17:00:00,0,1,,,1,
346,17:20:00,17:20:00,8,2,,1,,
346,17:30:00,17:30:00,9,3,,1,,
347,17:30:00,17:30:00,0,1,,,1,
347,17:50:00,17:50:00,8,2,,1,,
347,18:00:00,18:00:00,9,3,,1,,
340,11:00:00,11:00:00,0,1,,,1,
340,11:20:00,11:20:00,8,2,,1,,
340,11:30:00,11:30:00,9,3,,1,,
341,12:00:00,12:00:00,0,1,,,1,
341,12:20:00,12:20:00,8,2,,1,,
341,12:30:00,12:30:00,9,3,,1,,
342,13:00:00,13:00:00,0,1,,,1,
342,13:20:00,13:20:00,8,2,,1,,
342,13:30:00,13:30:00,9,3,,1,,
343,14:00:00,14:00:00,0,1,,,1,
343,14:20:00,14:20:00,8,2,,1,,
343,14:30:00,14:30:00,9,3,,1,,
348,18:00:00,18:00:00,0,1,,,1,
348,18:20:00,18:20:00,8,2,,1,,
348,18:30:00,18:30:00,9,3,,1,,
349,18:30:00,18:30:00,0,1,,,1,
349,18:50:00,18:50:00,8,2,,1,,
349,19:00:00,19:00:00,9,3,,1,,
595,08:00:00,08:00:00,0,1,,,1,
595,08:20:00,08:20:00,10,2,,,1,
595,08:40:00,08:40:00,0,3,,1,,
606,13:30:00,13:30:00,0,1,,,1,
606,13:50:00,13:50:00,10,2,,,1,
606,14:10:00,14:10:00,0,3,,1,,
594,07:30:00,07:30:00,0,1,,,1,
594,07:50:00,07:50:00,10,2,,,1,
594,08:10:00,08:10:00,0,3,,1,,
298,14:30:00,14:30:00,0,1,,,1,
298,14:55:00,14:55:00,4,2,,1,,
298,15:05:00,15:05:00,5,3,,1,,
299,15:30:00,15:30:00,0,1,,,1,
299,15:55:00,15:55:00,4,2,,1,,
299,16:05:00,16:05:00,5,3,,1,,
296,22:30:00,22:30:00,0,1,,,1,
296,22:55:00,22:55:00,4,2,,1,,
296,23:05:00,23:05:00,5,3,,1,,
297,13:30:00,13:30:00,0,1,,,1,
297,13:55:00,13:55:00,4,2,,1,,
297,14:05:00,14:05:00,5,3,,1,,
294,21:30:00,21:30:00,0,1,,,1,
294,21:55:00,21:55:00,4,2,,1,,
294,22:05:00,22:05:00,5,3,,1,,
295,22:00:00,22:00:00,0,1,,,1,
295,22:25:00,22:25:00,4,2,,1,,
295,22:35:00,22:35:00,5,3,,1,,
292,20:30:00,20:30:00,0,1,,,1,
292,20:55:00,20:55:00,4,2,,1,,
292,21:05:00,21:05:00,5,3,,1,,
293,21:00:00,21:00:00,0,1,,,1,
293,21:25:00,21:25:00,4,2,,1,,
293,21:35:00,21:35:00,5,3,,1,,
290,19:30:00,19:30:00,0,1,,,1,
290,19:55:00,19:55:00,4,2,,1,,
290,20:05:00,20:05:00,5,3,,1,,
291,20:00:00,20:00:00,0,1,,,1,
291,20:25:00,20:25:00,4,2,,1,,
291,20:35:00,20:35:00,5,3,,1,,
591,19:00:00,19:00:00,0,1,,,1,
591,19:15:00,19:15:00,8,2,,,1,
591,19:30:00,19:30:00,9,3,,,1,
591,19:55:00,19:55:00,0,4,,1,,
590,18:30:00,18:30:00,0,1,,,1,
590,18:45:00,18:45:00,8,2,,,1,
590,19:00:00,19:00:00,9,3,,,1,
590,19:25:00,19:25:00,0,4,,1,,
593,07:00:00,07:00:00,0,1,,,1,
593,07:20:00,07:20:00,10,2,,,1,
593,07:40:00,07:40:00,0,3,,1,,
592,06:30:00,06:30:00,0,1,,,1,
592,06:50:00,06:50:00,10,2,,,1,
592,07:10:00,07:10:00,0,3,,1,,
199,21:15:00,21:15:00,0,1,,,1,
199,21:30:00,21:30:00,15,2,,1,,
198,20:45:00,20:45:00,0,1,,,1,
198,21:00:00,21:00:00,15,2,,1,,
597,09:00:00,09:00:00,0,1,,,1,
597,09:20:00,09:20:00,10,2,,,1,
597,09:40:00,09:40:00,0,3,,1,,
596,08:30:00,08:30:00,0,1,,,1,
596,08:50:00,08:50:00,10,2,,,1,
596,09:10:00,09:10:00,0,3,,1,,
195,19:15:00,19:15:00,0,1,,,1,
195,19:30:00,19:30:00,15,2,,1,,
194,18:45:00,18:45:00,0,1,,,1,
194,19:00:00,19:00:00,15,2,,1,,
197,20:15:00,20:15:00,0,1,,,1,
197,20:30:00,20:30:00,15,2,,1,,
196,19:45:00,19:45:00,0,1,,,1,
196,20:00:00,20:00:00,15,2,,1,,
191,17:15:00,17:15:00,0,1,,,1,
191,17:30:00,17:30:00,15,2,,1,,
190,16:45:00,16:45:00,0,1,,,1,
190,17:00:00,17:00:00,15,2,,1,,
193,18:15:00,18:15:00,0,1,,,1,
193,18:30:00,18:30:00,15,2,,1,,
192,17:45:00,17:45:00,0,1,,,1,
192,18:00:00,18:00:00,15,2,,1,,
270,18:00:00,18:00:00,0,1,,,1,
270,18:25:00,18:25:00,4,2,,1,,
270,18:35:00,18:35:00,5,3,,1,,
271,18:30:00,18:30:00,0,1,,,1,
271,18:55:00,18:55:00,4,2,,1,,
